name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
NZXT H710i,124.99,ATX Mid Tower,White,Tempered Glass,58.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master Elite 500 ODD,134.13,ATX Mid Tower,Black,Tempered Glass,43.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake View 380 ARGB,114.99,ATX Mid Tower,Blue,Tinted Tempered Glass,51.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
SAMA V40,79.99,ATX Mid Tower,White,Tempered Glass,47.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
CiT F3 ARGB,124.99,MicroATX Mid Tower,Black,Tempered Glass,25.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MPG GUNGNIR 300R AIRFLOW,155.99,ATX Mid Tower,White,Tempered Glass,60.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Meshify C Mini,124.99,MicroATX Mini Tower,Black,Tinted Tempered Glass,36.6,"Micro ATX, Mini ITX",330,155,ATX
GAMDIAS TALOS E3,124.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CG580,124.99,ATX Mid Tower,White,Tempered Glass,51.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
DIYPC ARGB-Q3,124.99,MicroATX Mini Tower,Pink,Tempered Glass,38.6,"Micro ATX, Mini ITX",330,155,ATX
Cooler Master Elite 301,78.59,MicroATX Mid Tower,White,Tempered Glass,34.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master MasterBox 600,100.99,ATX Mid Tower,White,Tempered Glass,52.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CH270 DIGITAL,124.99,MicroATX Mini Tower,White,Tempered Glass,32.4,"Micro ATX, Mini ITX",330,155,ATX
Thermaltake The Tower 200,124.99,Mini ITX Tower,Black,Tempered Glass,45.1,Mini ITX,300,140,SFX
KOLINK Unity Meshbay Performance,124.99,ATX Mid Tower,Black,Tempered Glass,41.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Meshify 2 Mini,204.0,MicroATX Mid Tower,White / Black,Tempered Glass,33.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Meshify 3 Ambience Pro RGB,239.99,ATX Mid Tower,White,Tempered Glass,50.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec VSK3000E U3,124.99,MicroATX Mini Tower,Black,Tempered Glass,24.8,"Micro ATX, Mini ITX",330,155,ATX
GameMax F45,60.99,ATX Mid Tower,Black / Brown,Tempered Glass,40.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
