name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
Montech XR,83.59,ATX Mid Tower,Black,Tempered Glass,45.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks XT PRO,67.98,ATX Mid Tower,Black,Tempered Glass,51.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H5 Flow (2024),84.99,ATX Mid Tower,Black,Tempered Glass,45.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 3500X ARGB,115.99,ATX Mid Tower,White,Tempered Glass,55.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master MasterBox Q300L,45.98,MicroATX Mini Tower,Black,Acrylic,33.6,"Micro ATX, Mini ITX",330,155,ATX
Corsair 4000D Airflow,94.99,ATX Mid Tower,Black,Tinted Tempered Glass,48.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li Lancool 207,81.99,ATX Mid Tower,Blue,Tempered Glass,45.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H9 Flow (2023),119.99,ATX Mid Tower,Black,Tempered Glass,66.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,White,Tempered Glass,57.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 3500X ARGB,115.99,ATX Mid Tower,Black,Tempered Glass,55.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech AIR 100 ARGB,69.9,MicroATX Mid Tower,Black,Tempered Glass,36.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech AIR 903 MAX,74.99,ATX Mid Tower,Black,Tempered Glass,54.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li A3-mATX,72.98,MicroATX Mini Tower,Black,Mesh,26.3,"Micro ATX, Mini ITX",330,155,ATX
Fractal Design North,139.99,ATX Mid Tower,Black,Tempered Glass,45.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
HYTE Y70 Touch Infinite,439.95,ATX Mid Tower,White,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design North XL,179.99,ATX Full Tower,Black,Tinted Tempered Glass,61.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,Black,Tempered Glass,57.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H5 Flow (2024),59.99,ATX Mid Tower,White,Tempered Glass,45.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,Mesh,26.3,"Micro ATX, Mini ITX",330,155,ATX
Phanteks XT PRO ULTRA,80.98,ATX Mid Tower,Black,Tempered Glass,51.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H9 Flow (2023),99.99,ATX Mid Tower,White,Tempered Glass,66.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech XR,79.89,ATX Mid Tower,White,Tempered Glass,45.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,Black,Tempered Glass,65.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H6 Flow,109.97,ATX Mid Tower,Black,Tempered Glass,51.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech AIR 903 BASE,64.98,ATX Mid Tower,Black,Tempered Glass,54.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
HYTE Y70 Touch Infinite,564.4,ATX Mid Tower,Black,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H6 Flow,89.97,ATX Mid Tower,White,Tempered Glass,51.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair FRAME 4000D RS ARGB,104.99,ATX Mid Tower,Black,Tempered Glass,56.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H3 Flow,69.98,MicroATX Mid Tower,Black,Tinted Tempered Glass,35.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Terra,179.99,Mini ITX Desktop,Black / Brown,Mesh,11.4,Mini ITX,300,140,SFX
Antec C5 ARGB,114.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Pop XL Air,119.97,ATX Full Tower,Black,Tempered Glass,62.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li LANCOOL 217,127.5,ATX Mid Tower,Black / Brown,Tempered Glass,57.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11 Dynamic EVO XL,254.98,ATX Full Tower,Black,Tempered Glass,84.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech KING 95 PRO,148.98,ATX Mid Tower,Black,Tempered Glass,63.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Meshify C,109.99,ATX Mid Tower,Black,Tinted Tempered Glass,40.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master MasterBox NR200,67.29,Mini ITX Desktop,Black,Tempered Glass,20.3,Mini ITX,300,140,SFX
Okinos Aqua 3,64.98,MicroATX Mini Tower,Black,Tempered Glass,28.8,"Micro ATX, Mini ITX",330,155,ATX
Lian Li LANCOOL 216 RGB,102.97,ATX Mid Tower,Black,Tempered Glass,55.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
HYTE Y70,219.99,ATX Mid Tower,White,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Pop Air,79.99,ATX Mid Tower,Black,Tempered Glass,46.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H7 Flow (2024),129.99,ATX Mid Tower,Black,Tempered Glass,62.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
MUSETEX Y6,85.48,ATX Mid Tower,White,Tempered Glass,40.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 3000D AIRFLOW,94.99,ATX Mid Tower,Black,Tempered Glass,49.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11 Vision,142.99,ATX Mid Tower,Black,Tempered Glass,67.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design North,139.99,ATX Mid Tower,Black,Mesh,45.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
HYTE Y70,219.99,ATX Mid Tower,Black,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,White,Tempered Glass,65.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech X3 Mesh,54.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master Elite 301 Lite,64.94,MicroATX Mini Tower,Black,Tempered Glass,34.1,"Micro ATX, Mini ITX",330,155,ATX
Fractal Design Terra,179.99,Mini ITX Desktop,Green / Brown,Mesh,11.4,Mini ITX,300,140,SFX
Corsair FRAME 4000D,104.99,ATX Mid Tower,Black,Tempered Glass,56.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H6 Flow RGB,129.97,ATX Mid Tower,White,Tempered Glass,51.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Asus Prime AP201,89.97,MicroATX Mini Tower,Black,Mesh,33.0,"Micro ATX, Mini ITX",330,155,ATX
Montech XR Wood,79.9,ATX Mid Tower,Black / Brown,Tempered Glass,49.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CH160,124.99,Mini ITX Desktop,Black,Tempered Glass,19.1,Mini ITX,300,140,SFX
Montech X5M,56.0,MicroATX Mini Tower,Black,Tempered Glass,45.3,"Micro ATX, Mini ITX",330,155,ATX
Lian Li A3-mATX,89.99,MicroATX Mini Tower,White / Brown,Tempered Glass,26.3,"Micro ATX, Mini ITX",330,155,ATX
Antec C8,99.99,ATX Full Tower,Black,Tempered Glass,66.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake Versa H18,118.5,MicroATX Mini Tower,Black,Acrylic,30.4,"Micro ATX, Mini ITX",330,155,ATX
Silverstone ALTA F2,1062.27,ATX Full Tower,Black,Tempered Glass,98.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H6 Flow RGB,134.97,ATX Mid Tower,Black,Tempered Glass,51.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 5000D AIRFLOW,174.99,ATX Mid Tower,Black,Tempered Glass,66.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Ridge PCIe 4.0,129.99,Mini ITX Tower,Black,Mesh,16.3,Mini ITX,300,140,SFX
Corsair 3500X,99.99,ATX Mid Tower,Black,Tempered Glass,55.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H9 Elite,169.97,ATX Mid Tower,White,Tempered Glass,66.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Zalman T3 PLUS,39.5,MicroATX Mid Tower,Black,Tempered Glass,30.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec FLUX PRO,164.99,ATX Full Tower,Black / Brown,Tempered Glass,70.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master Elite 301,49.99,MicroATX Mid Tower,Black,Tempered Glass,34.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11 Dynamic EVO XL,249.99,ATX Full Tower,White,Tempered Glass,84.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Jonsbo Jonsplus Z20,99.0,MicroATX Desktop,Black,Tempered Glass,25.3,"Micro ATX, Mini ITX",330,155,ATX
Fractal Design Pop Mini Air,99.99,MicroATX Mid Tower,Black,Tempered Glass,36.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Azza Fighter,59.99,ATX Mid Tower,Black,Tempered Glass,34.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design North XL,194.97,ATX Full Tower,Black,Mesh,61.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 4000D Airflow,103.59,ATX Mid Tower,White,Tinted Tempered Glass,48.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MAG FORGE 321R AIRFLOW,89.99,ATX Mid Tower,Black,Tempered Glass,49.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Jonsbo D32 PRO,71.99,MicroATX Desktop,Black,Tempered Glass,25.7,"Micro ATX, Mini ITX",330,155,ATX
Lian Li A4-H20 X4,154.99,Mini ITX Desktop,Black,Mesh,11.1,Mini ITX,300,140,SFX
Lian Li O11 Vision,138.97,ATX Mid Tower,White,Tempered Glass,67.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design North,139.99,ATX Mid Tower,White,Tempered Glass,45.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec C5 ARGB,104.99,ATX Mid Tower,White,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Okinos Cypress 3,64.98,MicroATX Mini Tower,Black / Brown,Tempered Glass,42.8,"Micro ATX, Mini ITX",330,155,ATX
Fractal Design Focus G,59.99,ATX Mid Tower,Black,Acrylic,42.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake View 170 ARGB,62.99,MicroATX Mini Tower,Black,Tempered Glass,35.0,"Micro ATX, Mini ITX",330,155,ATX
NZXT H5 Flow RGB (2024),119.99,ATX Mid Tower,Black,Tempered Glass,45.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Terra,179.99,Mini ITX Desktop,Silver / Brown,Mesh,11.4,Mini ITX,300,140,SFX
NZXT H9 Flow RGB+ (2025),289.99,ATX Mid Tower,Black,Tinted Tempered Glass,76.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li Lancool 207,89.99,ATX Mid Tower,White,Tempered Glass,45.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H9 Elite,211.99,ATX Mid Tower,Black,Tempered Glass,66.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 7000D AIRFLOW,289.99,ATX Full Tower,Black,Tempered Glass,81.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li ODYSSEY X,1468.05,ATX Full Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li LANCOOL 216,111.97,ATX Mid Tower,Black,Tempered Glass,55.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake View 270 Plus TG ARGB,78.99,ATX Mid Tower,Black,Tempered Glass,47.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec FLUX,104.99,ATX Mid Tower,Black / Brown,Tempered Glass,58.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li A3-mATX,72.98,MicroATX Mini Tower,White,Mesh,26.3,"Micro ATX, Mini ITX",330,155,ATX
Cooler Master MasterBox NR200P V2,109.99,Mini ITX Desktop,Black,Mesh,20.1,Mini ITX,300,140,SFX
Montech KING 95 PRO,139.0,ATX Mid Tower,White,Tempered Glass,63.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 9000D RGB AIRFLOW,519.99,ATX Full Tower,Black,Tempered Glass,149.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake V100 Perforated,49.99,ATX Mid Tower,Black,Tempered Glass,36.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Mars Gaming MC-S2,79.34,ATX Mid Tower,White,Acrylic,19.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair FRAME 4000D RS,94.99,ATX Mid Tower,Black,Tempered Glass,56.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Focus 2,74.99,ATX Mid Tower,Black,Tempered Glass,45.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Asus ROG Strix Helios,234.97,ATX Full Tower,Black,Tempered Glass,83.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CH260,124.99,MicroATX Desktop,Black,Tempered Glass,30.8,"Micro ATX, Mini ITX",330,155,ATX
Fractal Design Pop Air RGB,99.99,ATX Mid Tower,Black,Tempered Glass,46.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Zalman CUBIX,37.99,MicroATX Mini Tower,Black,Tempered Glass,42.8,"Micro ATX, Mini ITX",330,155,ATX
Deepcool CG530 4F,124.99,ATX Mid Tower,Black,Tinted Acrylic,50.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H9 Flow (2025),164.99,ATX Mid Tower,Black,Tinted Tempered Glass,76.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech KING 65 PRO,94.99,ATX Mid Tower,Black,Tempered Glass,63.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CC560 V2,124.99,ATX Mid Tower,Black,Tempered Glass,44.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Define R5,124.99,ATX Mid Tower,Black,Tempered Glass,54.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H510,124.99,ATX Mid Tower,Black,Tempered Glass,41.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li Vector V100R,124.99,ATX Mid Tower,Black,Tempered Glass,53.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master MasterBox Q300L,36.99,MicroATX Mini Tower,White,Acrylic,33.6,"Micro ATX, Mini ITX",330,155,ATX
NZXT H9 Flow RGB+ (2025),289.99,ATX Mid Tower,White,Tempered Glass,76.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master Q300L V2,55.98,MicroATX Mini Tower,Black,Tempered Glass,34.1,"Micro ATX, Mini ITX",330,155,ATX
Antec C8 Wood,119.99,ATX Full Tower,Black / Brown,Tempered Glass,66.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11 Dynamic Mini,229.0,ATX Mid Tower,Black,Tempered Glass,43.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech AIR 100 ARGB,69.98,MicroATX Mid Tower,White,Tempered Glass,36.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
HYTE Y60,179.99,ATX Mid Tower,Black,Tempered Glass,60.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
MUSETEX K2,74.98,ATX Mid Tower,Black,Tempered Glass,44.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Ridge PCIe 4.0,142.97,Mini ITX Tower,White,Mesh,16.3,Mini ITX,300,140,SFX
HYTE Y70 Touch Infinite,399.99,ATX Mid Tower,White / Black,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Zalman S2,49.98,ATX Mid Tower,Black,Acrylic,38.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design North XL,179.99,ATX Full Tower,White,Tempered Glass,61.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Zalman T8,42.95,ATX Mid Tower,Black,Tempered Glass,33.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Jonsbo C6-ITX,62.0,Mini ITX Desktop,Black,Mesh,15.9,Mini ITX,300,140,SFX
Lian Li A4-H20 A4,154.99,Mini ITX Desktop,Silver / Black,Mesh,11.1,Mini ITX,300,140,SFX
MSI MAG FORGE M100R,124.99,MicroATX Mini Tower,Black,Tempered Glass,32.8,"Micro ATX, Mini ITX",330,155,ATX
NZXT H510,124.99,ATX Mid Tower,White,Tempered Glass,41.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CH370,124.99,MicroATX Mid Tower,Black,Tempered Glass,38.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
GameMax Nova N5,50.99,ATX Mid Tower,Black,Tempered Glass,37.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li LANCOOL III RGB,179.99,ATX Mid Tower,Black,Tempered Glass,65.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
SAMA SV01,79.99,ATX Mid Tower,Black,Tempered Glass,43.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
be quiet! Pure Base 500DX,109.9,ATX Mid Tower,Black,Tempered Glass,48.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H3 Flow,69.98,MicroATX Mid Tower,White,Tempered Glass,35.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H5 Flow RGB (2024),89.99,ATX Mid Tower,White,Tempered Glass,45.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Torrent,204.99,ATX Mid Tower,Black,Tinted Tempered Glass,69.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech AIR 100 LITE,79.98,MicroATX Mid Tower,Black,Tempered Glass,36.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li PC-O11 Dynamic,124.99,ATX Full Tower,Black,Tempered Glass,54.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,Tempered Glass,26.3,"Micro ATX, Mini ITX",330,155,ATX
Thermaltake Versa H16 ARGB,54.99,MicroATX Mini Tower,Black,Tempered Glass,33.0,"Micro ATX, Mini ITX",330,155,ATX
Lian Li O11 Dynamic Mini Snow Edition,124.99,ATX Mid Tower,White,Tempered Glass,43.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
GameMax Vista M,53.9,MicroATX Mini Tower,Black,Tempered Glass,40.9,"Micro ATX, Mini ITX",330,155,ATX
Phanteks Eclipse G370A,56.98,ATX Mid Tower,Black,Tempered Glass,48.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake View 170 ARGB,67.99,MicroATX Mini Tower,White,Tempered Glass,35.0,"Micro ATX, Mini ITX",330,155,ATX
Montech AIR 903 BASE,69.0,ATX Mid Tower,White,Tempered Glass,54.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MAG PANO 100R PZ,159.99,ATX Mid Tower,Black,Tempered Glass,72.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
GAMDIAS TALOS E3 MESH,59.99,ATX Mid Tower,Black,Tempered Glass,34.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec NX200M,92.97,MicroATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MAG FORGE 320R AIRFLOW,124.99,ATX Mid Tower,Black,Tempered Glass,49.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Meshify 2,164.99,ATX Mid Tower,Black,Tempered Glass,61.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Node 804,134.99,MicroATX Mid Tower,Black,Acrylic,41.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks NV5 MKII,120.98,ATX Mid Tower,Black,Tempered Glass,60.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks EVOLV X2,174.98,ATX Mid Tower,Black,Tempered Glass,60.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H7 Flow RGB (2024),149.99,ATX Mid Tower,Black,Tempered Glass,62.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master MasterBox NR200,89.99,Mini ITX Desktop,White / Black,Tempered Glass,20.3,Mini ITX,300,140,SFX
HYTE Y40,129.99,ATX Mid Tower,Black,Tempered Glass,49.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech X5,75.0,ATX Mid Tower,Black,Tempered Glass,51.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
HAVN HS420,229.99,ATX Mid Tower,Black,Tempered Glass,76.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake Versa H18,54.99,MicroATX Mini Tower,Black,Tempered Glass,30.4,"Micro ATX, Mini ITX",330,155,ATX
Corsair iCUE 4000X RGB,144.99,ATX Mid Tower,Black,Tempered Glass,48.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Meshify 3,154.99,ATX Mid Tower,Black,Tinted Tempered Glass,50.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design North,154.97,ATX Mid Tower,White,Mesh,45.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake Core V1,53.68,Mini ITX Desktop,Black,Tempered Glass,22.4,Mini ITX,300,140,SFX
HYTE Y60 Snow White,179.99,ATX Mid Tower,White,Tempered Glass,60.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Node 304,109.99,Mini ITX Tower,Black / White,Tempered Glass,19.5,Mini ITX,300,140,SFX
Cooler Master MasterBox TD500 Mesh V2,107.89,ATX Mid Tower,Black,Tempered Glass,52.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li Lancool 207 Digital,104.99,ATX Mid Tower,Black,Tempered Glass,45.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 6500X,199.99,ATX Mid Tower,Black,Tempered Glass,78.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool MATREXX 40 3FS,124.99,MicroATX Mini Tower,Black,Tempered Glass,42.8,"Micro ATX, Mini ITX",330,155,ATX
Lian Li O11 Dynamic EVO,124.99,ATX Mid Tower,Black,Tinted Tempered Glass,60.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MAG PANO 100R PZ,159.99,ATX Mid Tower,White,Tempered Glass,72.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech X5M,56.0,MicroATX Mini Tower,White,Tempered Glass,45.3,"Micro ATX, Mini ITX",330,155,ATX
Fractal Design Pop Mini Air,99.99,MicroATX Mid Tower,White,Tempered Glass,36.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MAG FORGE 120A AIRFLOW,124.99,ATX Mid Tower,Black,Tempered Glass,43.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
DIYPC DIY-S07,43.97,ATX Mid Tower,Black,Acrylic,27.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake Versa H17,49.99,MicroATX Mini Tower,Black,Tempered Glass,30.4,"Micro ATX, Mini ITX",330,155,ATX
Jonsbo TK-0,129.99,Mini ITX Desktop,Black,Tempered Glass,16.4,Mini ITX,300,140,SFX
Aerocool CS-107 RGB,124.99,MicroATX Mini Tower,Black,Tempered Glass,23.7,"Micro ATX, Mini ITX",330,155,ATX
Deepcool CH370,124.99,MicroATX Mid Tower,White,Tempered Glass,38.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake Versa H21,47.99,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 2500X,145.13,MicroATX Mini Tower,Black,Tempered Glass,54.8,"Micro ATX, Mini ITX",330,155,ATX
Thermaltake View 270 Plus TG ARGB,89.99,ATX Mid Tower,White,Tempered Glass,47.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li PC-O11 Dynamic,124.99,ATX Full Tower,White,Tempered Glass,54.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
HYTE Y70,219.99,ATX Mid Tower,Pink,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec AX20,98.32,ATX Mid Tower,Black,Tempered Glass,33.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Deepcool CH160,124.99,Mini ITX Desktop,White,Tempered Glass,19.1,Mini ITX,300,140,SFX
Montech AIR 903 MAX,89.99,ATX Mid Tower,White,Tempered Glass,54.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Fractal Design Define 7,194.99,ATX Mid Tower,Black,Tempered Glass,62.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Aerocool Bolt Mini Glass,124.99,MicroATX Mini Tower,Black,Tempered Glass,42.8,"Micro ATX, Mini ITX",330,155,ATX
MSI MAG FORGE 100R,157.02,ATX Mid Tower,Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H7 Flow (2024),109.99,ATX Mid Tower,White,Tempered Glass,62.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
FormD T1 V2.1 CNC Anodized,124.99,Mini ITX Desktop,Black,Mesh,42.8,Mini ITX,300,140,SFX
Fractal Design Meshify 2 XL,219.99,ATX Full Tower,Black,Tinted Tempered Glass,81.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 3500X,89.99,ATX Mid Tower,White,Tempered Glass,55.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair FRAME 4000D RS ARGB,124.99,ATX Mid Tower,White,Tempered Glass,56.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MAG FORGE 112R,89.99,ATX Mid Tower,Black,Tempered Glass,42.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11 Vision Chrome,164.0,ATX Mid Tower,Black,Tinted Tempered Glass,67.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
HAVN HS420 VGPU,299.99,ATX Mid Tower,Black,Tempered Glass,76.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair iCUE 4000X RGB,86.99,ATX Mid Tower,White,Tempered Glass,48.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Asus Prime AP201,79.98,MicroATX Mini Tower,White,Mesh,33.0,"Micro ATX, Mini ITX",330,155,ATX
Lian Li ODYSSEY X,1486.88,ATX Full Tower,Silver / Black,Tempered Glass,42.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li Vector V100R,94.0,ATX Mid Tower,White,Tempered Glass,53.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Thermaltake The Tower 300,99.99,MicroATX Mini Tower,Black,Tempered Glass,53.0,"Micro ATX, Mini ITX",330,155,ATX
