name,price,capacity,price_per_gb,type,cache,form_factor,interface
Kingston KC3000,99.99,1024.0,0.098,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33 PRO,54.99,1000.0,0.055,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Platinum P41,79.98,1000.0,0.08,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,170.59,8000.0,0.021,HDD,256.0,3.5,SATA 6.0 Gb/s
Lexar NM790,230.0,4000.0,0.058,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate SuperSpeed HDD,126.97,1000.0,0.087,SSD,64.0,2.5,SATA 6.0 Gb/s
Corsair MP700 Elite,198.99,2000.0,0.099,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 980,69.99,500.0,0.14,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Patriot P400 Lite,54.99,1000.0,0.055,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Gold,499.99,24000.0,0.021,HDD,512.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo,146.13,1000.0,0.146,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD90,212.99,4000.0,0.053,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,47.99,1000.0,0.048,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate Exos X24,479.99,24000.0,0.02,HDD,512.0,3.5,SATA 6.0 Gb/s
Kingston A400,36.99,480.0,0.077,SSD,128.0,2.5,SATA 6.0 Gb/s
Samsung 860 Evo,142.13,1000.0,0.142,SSD,1024.0,2.5,SATA 6.0 Gb/s
Kingston Fury Renegade,117.85,1000.0,0.118,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD Red Pro,479.99,26000.0,0.018,HDD,512.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 5,729.99,4000.0,0.182,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
PNY CS1030,29.99,500.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705,142.99,1000.0,0.143,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Lexar NM620,57.99,1000.0,0.058,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 9100 PRO,126.97,8000.0,0.087,SSD,8192.0,M.2-2280,M.2 PCIe 5.0 X4
Crucial BX500,108.99,2000.0,0.054,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital WD Blue SN5000,113.99,2000.0,0.057,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A55,45.99,1000.0,0.046,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,99.99,4000.0,0.025,HDD,256.0,3.5,SATA 6.0 Gb/s
Patriot P300,54.99,1000.0,0.055,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
